#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2328CEF5A7AD09C7-8B8D67FE2AFEB18
#datatype	hitsFull Results
#status	0
#Start time	2017-02-26T14:10:53	Run time	0:00:06:21
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#465 - >14415[]	multi-dom	223567	2	445	7.53844e-76	242.966	COG0493	GltD	 - 	 - 	NADPH-dependent glutamate synthase beta chain or related oxidoreductase [Amino acid transport and metabolism, General function prediction only]; NADPH-dependent glutamate synthase beta chain and related oxidoreductases [Amino acid transport and metabolism / General function prediction only].
Q#465 - >14415[]	multi-dom	223566	3	163	9.86702e-05	42.6645	COG0492	TrxB	C	 - 	Thioredoxin reductase [Posttranslational modification, protein turnover, chaperones]; Thioredoxin reductase [Posttranslational modification, protein turnover, chaperones].
Q#465 - >14415[]	multi-dom	224983	1	161	0.000127088	42.8309	COG2072	CzcO	C	 - 	Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD  [Inorganic ion transport and metabolism]; Predicted flavoprotein involved in K+ transport [Inorganic ion transport and metabolism].
Q#465 - >14415[]	multi-dom	224172	1	108	0.000547223	40.6961	COG1252	Ndh	C	 - 	NADH dehydrogenase, FAD-containing subunit [Energy production and conversion]; NADH dehydrogenase, FAD-containing subunit [Energy production and conversion].
Q#465 - >14415[]	multi-dom	224153	1	109	0.000586409	40.7781	COG1232	HemY	C	 - 	Protoporphyrinogen oxidase [Coenzyme transport and metabolism]; Protoporphyrinogen oxidase [Coenzyme metabolism].
Q#465 - >14415[]	multi-dom	223523	3	161	0.000652597	40.2834	COG0446	FadH2	C	 - 	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase [Lipid transport and metabolism]; Uncharacterized NAD(FAD)-dependent dehydrogenases [General function prediction only].
Q#465 - >14415[]	multi-dom	224171	1	171	0.00076159	40.379	COG1251	NirB	C	 - 	NAD(P)H-nitrite reductase, large subunit [Energy production and conversion]; NAD(P)H-nitrite reductase [Energy production and conversion].
Q#465 - >14415[]	multi-dom	223523	2	121	0.00457329	37.587	COG0446	FadH2	NC	 - 	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase [Lipid transport and metabolism]; Uncharacterized NAD(FAD)-dependent dehydrogenases [General function prediction only].
Q#465 - >14415[]	multi-dom	226906	1	46	0.00718714	37.3782	COG4529	YdhS	C	 - 	Uncharacterized NAD(P)/FAD-binding protein YdhS [General function prediction only]; Uncharacterized protein conserved in bacteria [Function unknown].
Q#465 - >14415[]	multi-dom	225885	1	48	0.00739297	37.0145	COG3349	COG3349	C	 - 	Uncharacterized conserved protein, contains NAD-binding domain and a Fe-S cluster [General function prediction only]; Uncharacterized conserved protein [Function unknown].
Q#465 - >14415[]	multi-dom	223717	1	37	0.00761192	37.0524	COG0644	FixC	C	 - 	Dehydrogenase (flavoprotein) [Energy production and conversion]; Dehydrogenases (flavoproteins) [Energy production and conversion].
Q#466 - >14416[]	specific	225022	614	774	2.14689e-23	96.3087	COG2111	MnhB	 - 	cl00676	Multisubunit Na+/H+ antiporter, MnhB subunit  [Inorganic ion transport and metabolism]; Multisubunit Na+/H+ antiporter, MnhB subunit [Inorganic ion transport and metabolism].
Q#466 - >14416[]	superfamily	294449	614	774	2.14689e-23	96.3087	cl00676	DUF4040 superfamily	 - 	 - 	Domain of unknown function (DUF4040); Domain of unknown function (DUF4040).  
Q#466 - >14416[]	specific	225022	798	935	1.04141e-09	57.0184	COG2111	MnhB	 - 	cl00676	Multisubunit Na+/H+ antiporter, MnhB subunit  [Inorganic ion transport and metabolism]; Multisubunit Na+/H+ antiporter, MnhB subunit [Inorganic ion transport and metabolism].
Q#466 - >14416[]	superfamily	294449	798	935	1.04141e-09	57.0184	cl00676	DUF4040 superfamily	 - 	 - 	Domain of unknown function (DUF4040); Domain of unknown function (DUF4040).  
Q#466 - >14416[]	non-specific	224479	615	682	0.00054289	38.5349	COG1563	COG1563	 - 	cl00676	Uncharacterized MnhB-related membrane protein [General function prediction only]; Predicted subunit of the Multisubunit Na+/H+ antiporter [Inorganic ion transport and metabolism].
Q#466 - >14416[]	multi-dom	223941	25	539	3.55392e-130	404.756	COG1009	NuoL	 - 	 - 	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit [Energy production and conversion, Inorganic ion transport and metabolism]; NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit [Energy production and conversion / Inorganic ion transport and metabolism].
Q#466 - >14416[]	multi-dom	223724	80	500	2.24532e-65	227.621	COG0651	HyfB	 - 	 - 	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit [Energy production and conversion, Inorganic ion transport and metabolism]; Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit [Energy production and conversion / Inorganic ion transport and metabolism].
Q#466 - >14416[]	multi-dom	223939	84	488	2.4891e-37	145.494	COG1007	NuoN	 - 	 - 	NADH:ubiquinone oxidoreductase subunit 2 (chain N) [Energy production and conversion]; NADH:ubiquinone oxidoreductase subunit 2 (chain N) [Energy production and conversion].
Q#466 - >14416[]	multi-dom	223940	72	488	4.66218e-37	145.045	COG1008	NuoM	 - 	 - 	NADH:ubiquinone oxidoreductase subunit 4 (chain M) [Energy production and conversion]; NADH:ubiquinone oxidoreductase subunit 4 (chain M) [Energy production and conversion].
Q#466 - >14416[]	multi-dom	224414	347	411	0.000132756	43.5082	COG1497	COG1497	N	 - 	Predicted transcriptional regulator  [Transcription]; Predicted transcriptional regulator [Transcription].
Q#467 - >14417[]	multi-dom	225989	39	215	0.00358809	37.8038	COG3458	Axe1	C	 - 	Cephalosporin-C deacetylase or related acetyl esterase [Secondary metabolites biosynthesis, transport and catabolism]; Acetyl esterase (deacetylase) [Secondary metabolites biosynthesis, transport, and catabolism].
Q#468 - >14418[]	specific	224456	4	105	6.4102e-35	114.637	COG1539	FolB	 - 	cl00263	Dihydroneopterin aldolase [Coenzyme transport and metabolism]; Dihydroneopterin aldolase [Coenzyme metabolism].
Q#468 - >14418[]	superfamily	294189	4	105	6.4102e-35	114.637	cl00263	TFold superfamily	 - 	 - 	Tunnelling fold (T-fold). The five known T-folds are found in five different enzymes with different functions: dihydroneopterin-triphosphate epimerase (DHNTPE), dihydroneopterin aldolase (DHNA) , GTP cyclohydrolase I (GTPCH-1),  6-pyrovoyl tetrahydropterin synthetase (PTPS), and uricase (UO,uroate/urate oxidase). They bind to substrates belonging to the purine or pterin families, and share a fold-related binding site with a glutamate or glutamine residue anchoring the substrate and a lot of conserved interactions. They also share a similar oligomerization mode: several T-folds join together to form a beta(2n)alpha(n) barrel, then two barrels join together in a head-to-head fashion to made up the native enzymes. The functional enzyme is a tetramer for UO, a hexamer for PTPS, an octamer for DHNA/DHNTPE and a decamer for GTPCH-1. The substrate is located in a deep and narrow pocket at the interface between monomers. In PTPS, the active site is located at the interface of three monomers, two from one trimer and one from the other trimer. In GTPCH-1, it is also located at the interface of three subunits, two from one pentamer and one from the other pentamer. There are four equivalent active sites in UO, six in PTPS, eight in DHNA/DHNTPE and ten in GTPCH-1.   Each globular multimeric enzyme encloses a tunnel which is lined with charged residues for DHNA and UO, and with basic residues in PTPS. The N and C-terminal ends are located on one side of the T-fold while the residues involved in the catalytic activity are located at the opposite side. In PTPS, UO and DHNA/DHNTPE, the N and C-terminal extremities of the enzyme are located on the exterior side of the functional multimeric enzyme. In GTPCH-1, the extra C-terminal helix places the extremity inside the tunnel.
Q#470 - >14420[]	multi-dom	223553	1	328	7.54162e-05	43.1403	COG0477	ProP	 - 	 - 	MFS family permease [Carbohydrate transport and metabolism, Amino acid transport and metabolism, Inorganic ion transport and metabolism, General function prediction only]; Permeases of the major facilitator superfamily [Carbohydrate transport and metabolism / Amino acid transport and metabolism / Inorganic ion transport and metabolism / General function prediction only].
Q#470 - >14420[]	multi-dom	225371	13	175	9.28906e-05	42.9861	COG2814	AraJ	C	 - 	Predicted arabinose efflux permease, MFS family [Carbohydrate transport and metabolism]; Arabinose efflux permease [Carbohydrate transport and metabolism].
Q#471 - >14421[]	specific	223110	4	303	6.52475e-142	401.144	COG0031	CysK	 - 	cl00342	Cysteine synthase [Amino acid transport and metabolism]; Cysteine synthase [Amino acid transport and metabolism].
Q#471 - >14421[]	superfamily	294246	4	303	6.52475e-142	401.144	cl00342	Trp-synth-beta_II superfamily	 - 	 - 	Tryptophan synthase beta superfamily (fold type II); this family of pyridoxal phosphate (PLP)-dependent enzymes catalyzes beta-replacement and beta-elimination reactions. This CD corresponds to aminocyclopropane-1-carboxylate deaminase (ACCD), tryptophan synthase beta chain (Trp-synth_B), cystathionine beta-synthase (CBS), O-acetylserine sulfhydrylase (CS), serine dehydratase (Ser-dehyd), threonine dehydratase (Thr-dehyd), diaminopropionate ammonia lyase (DAL), and threonine synthase (Thr-synth). ACCD catalyzes the conversion of 1-aminocyclopropane-1-carboxylate  to alpha-ketobutyrate and ammonia. Tryptophan synthase folds into a tetramer, where the beta chain is the catalytic PLP-binding subunit and catalyzes the formation of L-tryptophan from indole and L-serine. CBS is a tetrameric hemeprotein that catalyzes condensation of serine and homocysteine to cystathionine. CS is a homodimer that catalyzes the formation of L-cysteine from O-acetyl-L-serine. Ser-dehyd catalyzes the conversion of L- or D-serine  to pyruvate and ammonia. Thr-dehyd is active as a homodimer and catalyzes the conversion of L-threonine to 2-oxobutanoate and ammonia. DAL is also a homodimer and catalyzes the alpha, beta-elimination reaction of both L- and D-alpha, beta-diaminopropionate to form pyruvate and ammonia. Thr-synth catalyzes the formation of threonine and inorganic phosphate from O-phosphohomoserine.
Q#471 - >14421[]	non-specific	224269	15	290	3.44111e-06	46.6272	COG1350	COG1350	 - 	cl00342	Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB) [Amino acid transport and metabolism]; Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB) [General function prediction only].
Q#471 - >14421[]	multi-dom	223572	13	152	2.2299e-15	74.6639	COG0498	ThrC	C	 - 	Threonine synthase [Amino acid transport and metabolism]; Threonine synthase [Amino acid transport and metabolism].
Q#471 - >14421[]	multi-dom	224092	15	293	5.39189e-15	73.0184	COG1171	IlvA	 - 	 - 	Threonine dehydratase [Amino acid transport and metabolism]; Threonine dehydratase [Amino acid transport and metabolism].
Q#472 - >14422[]	multi-dom	227308	9	309	2.87103e-126	361.521	COG4974	XerD	 - 	 - 	Site-specific recombinase XerD [Replication, recombination and repair]; Site-specific recombinase XerD [DNA replication, recombination, and repair].
Q#472 - >14422[]	multi-dom	227307	9	312	1.74375e-80	244.999	COG4973	XerC	 - 	 - 	Site-specific recombinase XerC [Replication, recombination and repair]; Site-specific recombinase XerC [DNA replication, recombination, and repair].
Q#472 - >14422[]	multi-dom	223655	5	303	2.15424e-16	76.8528	COG0582	XerC	 - 	 - 	Integrase [Replication, recombination and repair, Mobilome: prophages, transposons]; Integrase [DNA replication, recombination, and repair].
Q#472 - >14422[]	multi-dom	226792	3	283	0.00642729	36.376	COG4342	COG4342	 - 	 - 	Intergrase/Recombinase [Mobilome: prophages, transposons]; Uncharacterized protein conserved in archaea [Function unknown].
Q#473 - >14423[]	non-specific	226928	50	188	6.6849e-08	51.6263	COG4558	ChuT	C	cl00262	ABC-type hemin transport system, periplasmic component  [Inorganic ion transport and metabolism]; ABC-type hemin transport system, periplasmic component [Inorganic ion transport and metabolism].
Q#473 - >14423[]	superfamily	294188	50	188	6.6849e-08	51.6263	cl00262	TroA-like superfamily	C	 - 	Helical backbone metal receptor (TroA-like domain). These proteins have been shown to function in the ABC transport of ferric siderophores and metal ions such as Mn2+, Fe3+, Cu2+ and/or Zn2+.  Their ligand binding site is formed in the interface between two globular domains linked by a single helix.  Many of these proteins also possess a low complexity region containing a metal-binding histidine-rich motif (repetitive HDH sequence).  The TroA-like proteins differ in their fold and ligand-binding mechanism from the PBPI and PBPII proteins, but are structurally similar, however, to the beta-subunit of the nitrogenase molybdenum-iron protein MoFe.   Most TroA-like proteins are encoded by ABC-type operons and appear to function as periplasmic components of ABC transporters in metal ion uptake.
Q#473 - >14423[]	multi-dom	226959	20	298	4.13758e-45	153.794	COG4594	FecB	 - 	 - 	ABC-type Fe3+-citrate transport system, periplasmic component [Inorganic ion transport and metabolism]; ABC-type Fe3+-citrate transport system, periplasmic component [Inorganic ion transport and metabolism].
Q#473 - >14423[]	multi-dom	223687	20	298	1.42808e-34	126.542	COG0614	FepB	 - 	 - 	ABC-type Fe3+-hydroxamate transport system, periplasmic component [Inorganic ion transport and metabolism]; ABC-type Fe3+-hydroxamate transport system, periplasmic component [Inorganic ion transport and metabolism].
Q#473 - >14423[]	multi-dom	226966	20	195	6.46066e-26	103.205	COG4607	CeuA	C	 - 	ABC-type enterochelin transport system, periplasmic component  [Inorganic ion transport and metabolism]; ABC-type enterochelin transport system, periplasmic component [Inorganic ion transport and metabolism].
Q#473 - >14423[]	multi-dom	226958	107	266	6.9535e-08	51.3824	COG4592	FepB	N	 - 	ABC-type Fe2+-enterobactin transport system, periplasmic component [Inorganic ion transport and metabolism]; ABC-type Fe2+-enterobactin transport system, periplasmic component [Inorganic ion transport and metabolism].
Q#475 - >14425[]	multi-dom	225557	6	129	6.1331e-40	129.461	COG3012	YchJ	 - 	 - 	Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains [Function unknown]; Uncharacterized protein conserved in bacteria [Function unknown].
Q#477 - >14427[]	multi-dom	225371	67	447	5.96762e-14	71.876	COG2814	AraJ	 - 	 - 	Predicted arabinose efflux permease, MFS family [Carbohydrate transport and metabolism]; Arabinose efflux permease [Carbohydrate transport and metabolism].
Q#477 - >14427[]	multi-dom	225121	155	453	9.78907e-06	46.4734	COG2211	MelB	N	 - 	Na+/melibiose symporter or related transporter [Carbohydrate transport and metabolism]; Na+/melibiose symporter and related transporters [Carbohydrate transport and metabolism].
Q#477 - >14427[]	multi-dom	223553	28	387	1.79559e-05	45.0663	COG0477	ProP	 - 	 - 	MFS family permease [Carbohydrate transport and metabolism, Amino acid transport and metabolism, Inorganic ion transport and metabolism, General function prediction only]; Permeases of the major facilitator superfamily [Carbohydrate transport and metabolism / Amino acid transport and metabolism / Inorganic ion transport and metabolism / General function prediction only].
Q#479 - >14429[]	non-specific	227322	81	201	7.15619e-12	63.5388	COG4989	YdhF	NC	cl00470	Predicted oxidoreductase [General function prediction only]; Predicted oxidoreductase [General function prediction only].
Q#479 - >14429[]	superfamily	294321	81	201	7.15619e-12	63.5388	cl00470	Aldo_ket_red superfamily	NC	 - 	Aldo-keto reductases (AKRs) are a superfamily of soluble NAD(P)(H) oxidoreductases whose chief purpose is to reduce aldehydes and ketones to primary and secondary alcohols. AKRs are present in all phyla and are of importance to both health and industrial applications. Members have very distinct functions and include the prokaryotic 2,5-diketo-D-gluconic acid reductases and beta-keto ester reductases, the eukaryotic aldose reductases, aldehyde reductases, hydroxysteroid dehydrogenases, steroid 5beta-reductases, potassium channel beta-subunits and aflatoxin aldehyde reductases, among others.
Q#479 - >14429[]	non-specific	223729	11	201	3.0172e-11	61.5022	COG0656	ARA1	C	cl00470	Aldo/keto reductase, related to diketogulonate reductase [Secondary metabolites biosynthesis, transport and catabolism]; Aldo/keto reductases, related to diketogulonate reductase [General function prediction only].
Q#479 - >14429[]	multi-dom	223739	8	300	1.10693e-65	207.18	COG0667	Tas	 - 	 - 	Predicted oxidoreductase (related to aryl-alcohol dehydrogenase) [General function prediction only]; Predicted oxidoreductases (related to aryl-alcohol dehydrogenases) [Energy production and conversion].
Q#481 - >14431[]	multi-dom	223862	379	585	1.75577e-29	114.306	COG0791	Spr	 - 	 - 	Cell wall-associated hydrolase, NlpC family [Cell wall/membrane/envelope biogenesis]; Cell wall-associated hydrolases (invasion-associated proteins) [Cell envelope biogenesis, outer membrane].
Q#481 - >14431[]	multi-dom	224117	62	286	1.10448e-07	53.5648	COG1196	Smc	NC	 - 	Chromosome segregation ATPase [Cell cycle control, cell division, chromosome partitioning]; Chromosome segregation ATPases [Cell division and chromosome partitioning].
Q#481 - >14431[]	multi-dom	224117	34	286	3.8849e-07	52.024	COG1196	Smc	NC	 - 	Chromosome segregation ATPase [Cell cycle control, cell division, chromosome partitioning]; Chromosome segregation ATPases [Cell division and chromosome partitioning].
Q#481 - >14431[]	multi-dom	224117	62	285	8.36312e-06	47.4016	COG1196	Smc	NC	 - 	Chromosome segregation ATPase [Cell cycle control, cell division, chromosome partitioning]; Chromosome segregation ATPases [Cell division and chromosome partitioning].
Q#481 - >14431[]	multi-dom	223496	75	287	6.10412e-05	44.7511	COG0419	SbcC	NC	 - 	DNA repair exonuclease SbcCD ATPase subunit [Replication, recombination and repair]; ATPase involved in DNA repair [DNA replication, recombination, and repair].
Q#481 - >14431[]	multi-dom	224495	87	281	0.000223938	41.5823	COG1579	COG1579	 - 	 - 	Predicted  nucleic acid-binding protein, contains Zn-ribbon domain [General function prediction only]; Zn-ribbon protein, possibly nucleic acid-binding [General function prediction only].
Q#481 - >14431[]	multi-dom	224117	128	287	0.00289953	39.3124	COG1196	Smc	C	 - 	Chromosome segregation ATPase [Cell cycle control, cell division, chromosome partitioning]; Chromosome segregation ATPases [Cell division and chromosome partitioning].
Q#481 - >14431[]	multi-dom	227608	44	228	0.00795367	37.9847	COG5283	COG5283	C	 - 	Phage-related tail protein  [Mobilome: prophages, transposons]; Phage-related tail protein [Function unknown].
Q#482 - >14432[]	specific	223143	142	606	1.63884e-40	153.896	COG0065	LeuC	 - 	cl00285	Homoaconitase/3-isopropylmalate dehydratase large subunit [Amino acid transport and metabolism]; 3-isopropylmalate dehydratase large subunit [Amino acid transport and metabolism].
Q#482 - >14432[]	superfamily	294203	142	606	1.63884e-40	153.896	cl00285	Aconitase superfamily	 - 	 - 	Aconitase catalytic domain; Aconitase catalyzes the reversible isomerization of citrate and isocitrate as part of the TCA cycle; Aconitase catalytic domain. Aconitase (aconitate hydratase) catalyzes the reversible isomerization of citrate and isocitrate as part of the TCA cycle.  Cis-aconitate is formed as an intermediate product during the course of the reaction. In eukaryotes two isozymes of aconitase are known to exist: one found in the mitochondrial matrix and the other found in the cytoplasm. Aconitase, in its active form, contains a 4Fe-4S  iron-sulfur cluster; three cysteine residues have been shown to be ligands of the 4Fe-4S cluster. This is the Aconitase core domain, including structural domains 1, 2 and 3, which binds the Fe-S cluster. The aconitase family also contains the following proteins: - Iron-responsive  element binding protein (IRE-BP), a cytosolic protein that binds to iron-responsive elements (IREs). IREs are stem-loop structures found in  the 5'UTR of ferritin, and delta aminolevulinic acid synthase mRNAs, and in the 3'UTR of  transferrin receptor mRNA. IRE-BP also express aconitase activity. - 3-isopropylmalate dehydratase (isopropylmalate isomerase), the enzyme that catalyzes the second step in the biosynthesis of leucine. - Homoaconitase (homoaconitate hydratase), an enzyme that participates in the  alpha-aminoadipate pathway of lysine biosynthesis and that converts cis-homoaconitate into homoisocitric acid.
Q#482 - >14432[]	non-specific	223144	811	866	1.49201e-08	54.1349	COG0066	LeuD	NC	cl00215	3-isopropylmalate dehydratase small subunit [Amino acid transport and metabolism]; 3-isopropylmalate dehydratase small subunit [Amino acid transport and metabolism].
Q#482 - >14432[]	superfamily	294147	811	866	1.49201e-08	54.1349	cl00215	Aconitase_swivel superfamily	NC	 - 	Aconitase swivel domain. Aconitase (aconitate hydratase) catalyzes the reversible isomerization of citrate and isocitrate as part of the TCA cycle. This is the aconitase swivel domain, which undergoes swivelling conformational change in the enzyme mechanism. The aconitase family contains the following proteins: - Iron-responsive  element binding protein (IRE-BP). IRE-BP is a cytosolic protein that binds to iron-responsive elements (IREs). IREs are stem-loop structures found in the 5'UTR of ferritin, and delta aminolevulinic acid synthase mRNAs, and in the 3'UTR of transferrin receptor mRNA. IRE-BP also express aconitase activity. - 3-isopropylmalate dehydratase (isopropylmalate isomerase), the enzyme that catalyzes the second step in the biosynthesis of leucine. - Homoaconitase (homoaconitate hydratase), an enzyme that participates in the alpha-aminoadipate pathway of lysine biosynthesis and that converts cis-homoaconitate into homoisocitric acid.
Q#482 - >14432[]	multi-dom	223977	12	940	0	1367.79	COG1048	AcnA	 - 	 - 	Aconitase A [Energy production and conversion]; Aconitase A [Energy production and conversion].
Q#482 - >14432[]	multi-dom	223978	170	606	4.85627e-05	45.895	COG1049	AcnB	N	 - 	Aconitase B [Energy production and conversion]; Aconitase B [Energy production and conversion].
Q#483 - >14433[]	specific	223713	43	91	1.93259e-05	41.7281	COG0640	ArsR	NC	cl21459	DNA-binding transcriptional regulator, ArsR family [Transcription]; Predicted transcriptional regulators [Transcription].
Q#483 - >14433[]	superfamily	304362	43	91	1.93259e-05	41.7281	cl21459	HTH superfamily	NC	 - 	Helix-turn-helix domains; A large family of mostly alpha-helical protein domains with a characteristic fold; most members function as sequence-specific DNA binding domains, such as in transcription regulators. This superfamily also includes the winged helix-turn-helix domains.
Q#483 - >14433[]	multi-dom	225222	41	252	5.71997e-61	190.629	COG2345	COG2345	 - 	 - 	Predicted transcriptional regulator, ArsR family [Transcription]; Predicted transcriptional regulator [Transcription].
Q#483 - >14433[]	multi-dom	224691	43	115	2.41009e-05	42.8046	COG1777	COG1777	C	 - 	Predicted transcriptional regulator [Transcription]; Predicted transcriptional regulators [Transcription].
Q#483 - >14433[]	multi-dom	224759	44	147	0.00117192	36.8052	COG1846	MarR	 - 	 - 	DNA-binding transcriptional regulator, MarR family [Transcription]; Transcriptional regulators [Transcription].
Q#483 - >14433[]	multi-dom	226931	57	110	0.00867219	35.3055	COG4565	CitB	N	 - 	Response regulator of citrate/malate metabolism [Transcription, Signal transduction mechanisms]; Response regulator of citrate/malate metabolism [Transcription / Signal transduction mechanisms].
Q#484 - >14434[]	non-specific	224570	400	443	0.0096096	36.2846	COG1656	COG1656	N	cl19501	Uncharacterized conserved protein, contains PIN domain [Function unknown]; Uncharacterized conserved protein [Function unknown].
Q#484 - >14434[]	superfamily	302879	400	443	0.0096096	36.2846	cl19501	Mut7-C superfamily	N	 - 	Mut7-C RNAse domain; RNAse domain of the PIN fold with an inserted Zinc Ribbon at the C terminus.
Q#484 - >14434[]	multi-dom	224119	30	678	5.25105e-136	415.19	COG1198	PriA	 - 	 - 	Primosomal protein N' (replication factor Y) - superfamily II helicase [Replication, recombination and repair]; Primosomal protein N' (replication factor Y) - superfamily II helicase [DNA replication, recombination, and repair].
Q#485 - >14435[]	specific	224672	18	88	7.50975e-21	76.9634	COG1758	RpoZ	 - 	cl14651	DNA-directed RNA polymerase, subunit K/omega [Transcription]; DNA-directed RNA polymerase, subunit K/omega [Transcription].
Q#485 - >14435[]	superfamily	301331	18	88	7.50975e-21	76.9634	cl14651	RNA_pol_Rpb6 superfamily	 - 	 - 	RNA polymerase Rpb6; Rpb6 is an essential subunit in the eukaryotic polymerases Pol I, II and III. This family also contains the bacterial equivalent to Rpb6, the omega subunit. Rpb6 and omega are structurally conserved and both function in polymerase assembly.
Q#486 - >14436[]	specific	224976	41	218	1.05159e-80	237.563	COG2065	PyrR	 - 	cl00309	Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase  [Nucleotide transport and metabolism]; Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase [Nucleotide transport and metabolism].
Q#486 - >14436[]	superfamily	294217	41	218	1.05159e-80	237.563	cl00309	PRTases_typeI superfamily	 - 	 - 	Phosphoribosyl transferase (PRT)-type I domain; Phosphoribosyl transferase (PRT) domain. The type I PRTases are identified by a conserved PRPP binding motif which features two adjacent acidic residues surrounded by one or more hydrophobic residue. PRTases catalyze the displacement of the alpha-1'-pyrophosphate of 5-phosphoribosyl-alpha1-pyrpphosphate (PRPP) by a nitrogen-containing nucleophile. The reaction products are an alpha-1 substituted ribose-5'-phosphate and a free pyrophosphate (PP).  PRPP, an activated form of ribose-5-phosphate, is a key metabolite connecting nucleotide synthesis and salvage pathways. The type I PRTase family includes a range of diverse phosphoribosyl transferase enzymes and regulatory proteins of the nucleotide synthesis and salvage pathways, including adenine phosphoribosyltransferase EC:2.4.2.7., hypoxanthine-guanine-xanthine phosphoribosyltransferase, hypoxanthine phosphoribosyltransferase EC:2.4.2.8., ribose-phosphate pyrophosphokinase EC:2.7.6.1., amidophosphoribosyltransferase EC:2.4.2.14., orotate phosphoribosyltransferase EC:2.4.2.10., uracil phosphoribosyltransferase EC:2.4.2.9., and xanthine-guanine phosphoribosyltransferase EC:2.4.2.22.
Q#486 - >14436[]	non-specific	223707	38	192	7.39954e-10	54.8356	COG0634	HptA	 - 	cl00309	Hypoxanthine-guanine phosphoribosyltransferase [Nucleotide transport and metabolism]; Hypoxanthine-guanine phosphoribosyltransferase [Nucleotide transport and metabolism].
Q#486 - >14436[]	non-specific	225145	46	206	4.2587e-05	41.5805	COG2236	Hpt1	 - 	cl00309	Hypoxanthine phosphoribosyltransferase  [Coenzyme transport and metabolism]; Predicted phosphoribosyltransferases [General function prediction only].
Q#486 - >14436[]	non-specific	223925	74	175	0.00168174	36.661	COG0856	PyrE2	N	cl00309	Orotate phosphoribosyltransferase homolog [Nucleotide transport and metabolism]; Orotate phosphoribosyltransferase homologs [Nucleotide transport and metabolism].
Q#486 - >14436[]	non-specific	223113	108	173	0.00588981	35.2346	COG0035	Upp	NC	cl00309	Uracil phosphoribosyltransferase [Nucleotide transport and metabolism]; Uracil phosphoribosyltransferase [Nucleotide transport and metabolism].
Q#486 - >14436[]	non-specific	223537	51	176	0.00860451	34.5379	COG0461	PyrE	C	cl00309	Orotate phosphoribosyltransferase [Nucleotide transport and metabolism]; Orotate phosphoribosyltransferase [Nucleotide transport and metabolism].
Q#487 - >14437[]	multi-dom	223092	1	890	0	1084.98	COG0013	AlaS	 - 	 - 	Alanyl-tRNA synthetase [Translation, ribosomal structure and biogenesis]; Alanyl-tRNA synthetase [Translation, ribosomal structure and biogenesis].
Q#487 - >14437[]	multi-dom	225427	486	708	4.16603e-25	103.605	COG2872	AlaX	 - 	 - 	Ser-tRNA(Ala) deacylase AlaX (editing enzyme) [Translation, ribosomal structure and biogenesis]; Predicted metal-dependent hydrolases related to alanyl-tRNA synthetase HxxxH domain [General function prediction only].
Q#489 - >14439[]	multi-dom	223518	69	689	0	779.132	COG0441	ThrS	 - 	 - 	Threonyl-tRNA synthetase [Translation, ribosomal structure and biogenesis]; Threonyl-tRNA synthetase [Translation, ribosomal structure and biogenesis].
Q#489 - >14439[]	multi-dom	223202	295	680	2.87257e-09	58.3915	COG0124	HisS	 - 	 - 	Histidyl-tRNA synthetase [Translation, ribosomal structure and biogenesis]; Histidyl-tRNA synthetase [Translation, ribosomal structure and biogenesis].
Q#489 - >14439[]	multi-dom	223519	291	461	8.29511e-08	53.7911	COG0442	ProS	C	 - 	Prolyl-tRNA synthetase [Translation, ribosomal structure and biogenesis]; Prolyl-tRNA synthetase [Translation, ribosomal structure and biogenesis].
Q#489 - >14439[]	multi-dom	223250	273	471	4.38414e-05	44.8965	COG0172	SerS	NC	 - 	Seryl-tRNA synthetase [Translation, ribosomal structure and biogenesis]; Seryl-tRNA synthetase [Translation, ribosomal structure and biogenesis].
Q#490 - >14440[]	non-specific	225247	8	134	4.51573e-25	92.8352	COG2372	CopC	 - 	cl01012	Copper-binding protein CopC (methionine-rich) [Inorganic ion transport and metabolism]; Uncharacterized protein, homolog of Cu resistance protein CopC [General function prediction only].
Q#490 - >14440[]	superfamily	294650	8	134	4.51573e-25	92.8352	cl01012	Big_5 superfamily	 - 	 - 	Bacterial Ig-like domain; Bacterial Ig-like domain.  
